환경성적표지 인증제품 유효현황(2021.12.22. 기준),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"○ 환경성적표지 유효현황 : 323개 기업, 1455개 제품(저탄소제품 95개 기업, 294개 제품 포함)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,자원발자국,,,,,,탄소발자국,,,,,,오존층영향,,,,,,산성비,,,,,,부영양화,,,,,,광화학 스모그,,,,,,물발자국,,,,,,,,,,,
연번,기업명,사업자등록번호,영향범주,인증번호,제품군,인증제품명,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,시작,종료,,,,
909,(주)엘엑스하우시스,107-87-18122,저탄소제품,2021-053,생산재,Z:IN 소리잠 4.5,6.22.E-02,kgSbe/m2,5.51.E-02,7.17.E-03,-,-,6.08.E+00,kgCO2e/m2,4.87.E+00,1.21.E+00,-,-,3.61.E-07,kgCFC-11e/m2,3.59.E-07,1.58.E-09,-,-,1.92.E-02,kgSO2e/m2,1.69.E-02,2.34.E-03,-,-,1.95.E-02,kgPO43-e/m2,1.89.E-02,5.94.E-04,-,-,1.11.E-02,kgC2H4e/m2,8.64.E-03,2.44.E-03,-,-,1.49.E-01,m3H2Oe/m2,1.26.E-01,2.25.E-02,-,-,2021-02-26,2024-02-25,,,,
910,(주)엘엑스하우시스,107-87-18122,저탄소제품,2021-054,생산재,Z:IN 지아소리잠 6.0,6.84.E-02,kgSbe/m2,5.60.E-02,1.24.E-02,-,-,6.99.E+00,kgCO2e/m2,4.93.E+00,2.06.E+00,-,-,3.87.E-07,kgCFC-11e/m2,3.86.E-07,1.51.E-09,-,-,2.20.E-02,kgSO2e/m2,1.80.E-02,4.00.E-03,-,-,1.57.E-02,kgPO43-e/m2,1.49.E-02,7.71.E-04,-,-,1.62.E-02,kgC2H4e/m2,1.21.E-02,4.17.E-03,-,-,1.44.E-01,m3H2Oe/m2,1.13.E-01,3.10.E-02,-,-,2021-02-26,2024-02-25,,,,
911,(주)엘엑스하우시스,107-87-18122,저탄소제품,2021-055,생산재,Z:IN 지아소리잠 4.5,5.62.E-02,kgSbe/m2,4.89.E-02,7.31.E-03,-,-,5.38.E+00,kgCO2e/m2,4.15.E+00,1.22.E+00,-,-,3.15.E-07,kgCFC-11e/m2,3.14.E-07,9.29.E-10,-,-,1.62.E-02,kgSO2e/m2,1.39.E-02,2.37.E-03,-,-,5.67.E-03,kgPO43-e/m2,5.21.E-03,4.62.E-04,-,-,9.85.E-03,kgC2H4e/m2,7.35.E-03,2.50.E-03,-,-,1.25.E-01,m3H2Oe/m2,1.02.E-01,2.26.E-02,-,-,2021-02-26,2024-02-25,,,,
912,(주)엘엑스하우시스,107-87-18122,저탄소제품,2021-057,생산재,Z:IN Wallcovering 방염벽지[1㎡],4.12.E-03,kgSbe/m2,2.99.E-03,1.13.E-03,-,-,5.65.E-01,kgCO2e/m2,3.68.E-01,1.97.E-01,-,-,3.36.E-08,kgCFC-11e/m2,3.33.E-08,2.60.E-10,-,-,1.75.E-03,kgSO2e/m2,1.33.E-03,4.20.E-04,-,-,3.74.E-04,kgPO43-e/m2,3.05.E-04,6.92.E-05,-,-,1.39.E-03,kgC2H4e/m2,7.30.E-04,6.62.E-04,-,-,5.48.E-03,m3H2Oe/m2,4.32.E-03,1.15.E-03,-,-,2021-02-26,2024-02-25,,,,
913,트렘코씨피지코리아(유),322-85-00547,저탄소제품,2021-058,생산재,SG300카트리지형 [310ml],2.38.E-03,kgSbe/개,2.15.E-03,2.25.E-04,-,-,8.52.E-01,kgCO2e/개,8.13.E-01,3.93.E-02,-,-,2.00.E-08,kgCFC-11e/개,2.00.E-08,2.76.E-11,-,-,4.78.E-04,kgSO2e/개,4.00.E-04,7.78.E-05,-,-,8.08.E-05,kgPO43-e/개,6.76.E-05,1.32.E-05,-,-,2.70.E-04,kgC2H4e/개,2.69.E-04,4.47.E-07,-,-,1.84.E-03,m3H2Oe/개,1.37.E-03,4.71.E-04,-,-,2021-02-26,2024-02-25,,,,
914,(주)안성테크,206-81-61147,저탄소제품,2021-059,생산재,"ASSC_I [600×600×33T, R형]",6.87.E-02,kgSbe/개,6.47.E-02,3.97.E-03,-,-,1.60.E+01,kgCO2e/개,1.54.E+01,6.20.E-01,-,-,5.84.E-07,kgCFC-11e/개,5.48.E-07,3.56.E-08,-,-,3.23.E-02,kgSO2e/개,3.10.E-02,1.35.E-03,-,-,4.26.E-02,kgPO43-e/개,4.24.E-02,2.41.E-04,-,-,9.87.E-03,kgC2H4e/개,9.64.E-03,2.30.E-04,-,-,1.47.E-01,m3H2Oe/개,1.38.E-01,8.41.E-03,-,-,2021-02-26,2024-02-25,,,,
915,(주)안성테크,206-81-61147,저탄소제품,2021-060,생산재,"OA-ASSC_III [500×500×23T, R형]",3.62.E-02,kgSbe/개,3.31.E-02,3.18.E-03,-,-,8.97.E+00,kgCO2e/개,8.47.E+00,4.99.E-01,-,-,3.29.E-07,kgCFC-11e/개,3.08.E-07,2.05.E-08,-,-,1.59.E-02,kgSO2e/개,1.49.E-02,1.02.E-03,-,-,1.86.E-02,kgPO43-e/개,1.84.E-02,1.84.E-04,-,-,4.69.E-03,kgC2H4e/개,4.56.E-03,1.33.E-04,-,-,3.32.E-02,m3H2Oe/개,2.62.E-02,6.99.E-03,-,-,2021-02-26,2024-02-25,,,,
916,이건산업(주),131-81-06200,저탄소제품,2021-061,생산재,SERA[95mmX800mmX7.5T],7.14.E-02,kgSbe/m2,6.79.E-02,3.43.E-03,-,-,6.00.E+00,kgCO2e/m2,5.46.E+00,5.43.E-01,-,-,4.79.E-07,kgCFC-11e/m2,4.79.E-07,1.50.E-11,-,-,3.20.E-02,kgSO2e/m2,3.11.E-02,9.18.E-04,-,-,1.37.E-02,kgPO43-e/m2,1.35.E-02,1.71.E-04,-,-,9.75.E-03,kgC2H4e/m2,9.74.E-03,3.87.E-06,-,-,3.07.E-02,m3H2Oe/m2,2.39.E-02,6.77.E-03,-,-,2021-02-26,2024-02-25,,,,
917,(주)엘엑스하우시스,107-87-18122,환경성적,2021-062,생산재,올로드[2T],5.19.E-02,kgSbe/m2,4.52.E-02,6.74.E-03,-,-,4.86.E+00,kgCO2e/m2,3.73.E+00,1.13.E+00,-,-,2.75.E-07,kgCFC-11e/m2,2.73.E-07,1.49.E-09,-,-,1.25.E-02,kgSO2e/m2,1.03.E-02,2.20.E-03,-,-,4.66.E-03,kgPO43-e/m2,4.10.E-03,5.59.E-04,-,-,6.99.E-02,kgC2H4e/m2,6.72.E-03,6.32.E-02,-,-,7.44.E-02,m3H2Oe/m2,1.65.E-02,5.79.E-02,-,-,2021-03-26,2024-03-25,,,,
918,(주)엘엑스하우시스,107-87-18122,환경성적,2021-063,생산재,시니어[4.5T],7.47.E-02,kgSbe/m2,6.85.E-02,6.26.E-03,-,-,6.60.E+00,kgCO2e/m2,5.56.E+00,1.04.E+00,-,-,4.96.E-07,kgCFC-11e/m2,4.94.E-07,2.16.E-09,-,-,1.77.E-02,kgSO2e/m2,1.56.E-02,2.06.E-03,-,-,6.12.E-03,kgPO43-e/m2,5.44.E-03,6.84.E-04,-,-,2.00.E-01,kgC2H4e/m2,1.02.E-02,1.90.E-01,-,-,6.79.E-02,m3H2Oe/m2,4.40.E-02,2.39.E-02,-,-,2021-03-26,2024-03-25,,,,
919,(주)엘엑스하우시스,107-87-18122,환경성적,2021-064,생산재,스톤컬렉션[2T],2.96.E-02,kgSbe/m2,2.50.E-02,4.53.E-03,-,-,3.13.E+00,kgCO2e/m2,2.38.E+00,7.56.E-01,-,-,1.60.E-07,kgCFC-11e/m2,1.57.E-07,2.67.E-09,-,-,8.50.E-03,kgSO2e/m2,6.97.E-03,1.52.E-03,-,-,1.53.E-02,kgPO43-e/m2,1.46.E-02,7.25.E-04,-,-,3.94.E-02,kgC2H4e/m2,3.81.E-03,3.56.E-02,-,-,3.88.E-02,m3H2Oe/m2,1.42.E-02,2.45.E-02,-,-,2021-03-26,2024-03-25,,,,
920,(주)엘엑스하우시스,107-87-18122,환경성적,2021-065,생산재,SD트랜스[5T],4.10.E-02,kgSbe/m2,3.31.E-02,7.84.E-03,-,-,4.27.E+00,kgCO2e/m2,2.96.E+00,1.31.E+00,-,-,2.06.E-07,kgCFC-11e/m2,2.02.E-07,3.65.E-09,-,-,1.06.E-02,kgSO2e/m2,7.99.E-03,2.61.E-03,-,-,5.36.E-03,kgPO43-e/m2,4.31.E-03,1.05.E-03,-,-,7.33.E-03,kgC2H4e/m2,4.58.E-03,2.74.E-03,-,-,5.20.E-02,m3H2Oe/m2,1.76.E-02,3.44.E-02,-,-,2021-03-26,2024-03-25,,,,
921,(주)엘엑스하우시스,107-87-18122,환경성적,2021-066,생산재,SD 메탈[3.2T],3.59.E-02,kgSbe/m2,2.88.E-02,7.18.E-03,-,-,3.78.E+00,kgCO2e/m2,2.58.E+00,1.20.E+00,-,-,1.78.E-07,kgCFC-11e/m2,1.76.E-07,1.93.E-09,-,-,9.35.E-03,kgSO2e/m2,6.99.E-03,2.36.E-03,-,-,4.82.E-03,kgPO43-e/m2,4.15.E-03,6.68.E-04,-,-,4.65.E-02,kgC2H4e/m2,3.97.E-03,4.25.E-02,-,-,4.92.E-02,m3H2Oe/m2,1.57.E-02,3.36.E-02,-,-,2021-03-26,2024-03-25,,,,
922,(주)엘엑스하우시스,107-87-18122,환경성적,2021-067,생산재,세이프로드[2T],5.70.E-02,kgSbe/m2,5.31.E-02,3.81.E-03,-,-,5.26.E+00,kgCO2e/m2,4.64.E+00,6.23.E-01,-,-,3.70.E-07,kgCFC-11e/m2,3.65.E-07,5.46.E-09,-,-,1.57.E-02,kgSO2e/m2,1.44.E-02,1.31.E-03,-,-,3.01.E-02,kgPO43-e/m2,2.88.E-02,1.30.E-03,-,-,9.97.E-02,kgC2H4e/m2,8.76.E-03,9.09.E-02,-,-,3.65.E-02,m3H2Oe/m2,2.12.E-02,1.53.E-02,-,-,2021-03-26,2024-03-25,,,,
923,(주)엘엑스하우시스,107-87-18122,환경성적,2021-068,생산재,우드컬렉션[2T],2.95.E-02,kgSbe/m2,2.48.E-02,4.74.E-03,-,-,3.15.E+00,kgCO2e/m2,2.35.E+00,7.94.E-01,-,-,1.58.E-07,kgCFC-11e/m2,1.55.E-07,2.50.E-09,-,-,8.51.E-03,kgSO2e/m2,6.91.E-03,1.60.E-03,-,-,1.52.E-02,kgPO43-e/m2,1.45.E-02,6.93.E-04,-,-,3.92.E-02,kgC2H4e/m2,3.77.E-03,3.55.E-02,-,-,3.60.E-02,m3H2Oe/m2,1.41.E-02,2.19.E-02,-,-,2021-03-26,2024-03-25,,,,
924,(주)현대엘앤씨,104-86-55679,저탄소제품,2021-069,생산재,글로시아(가구용PET데코시트)[0.4T],1.15.E-01,kgSbe/m2,1.13.E-01,1.74.E-03,-,-,2.44.E+00,kgCO2e/m2,2.16.E+00,2.75.E-01,-,-,6.04.E-06,kgCFC-11e/m2,6.04.E-06,1.38.E-09,-,-,2.23.E-02,kgSO2e/m2,2.19.E-02,4.84.E-04,-,-,3.31.E-03,kgPO43-e/m2,3.19.E-03,1.15.E-04,-,-,3.61.E-02,kgC2H4e/m2,3.60.E-02,4.80.E-05,-,-,1.69.E-02,m3H2Oe/m2,9.03.E-03,7.83.E-03,-,-,2021-03-26,2024-03-25,,,,
925,(주)현대엘앤씨,104-86-55679,환경성적,2021-070,생산재,골드타일 루즈레이[5T],5.17.E-02,kgSbe/m2,4.48.E-02,6.90.E-03,-,-,6.45.E+00,kgCO2e/m2,5.30.E+00,1.15.E+00,-,-,2.62.E-07,kgCFC-11e/m2,2.55.E-07,7.10.E-09,-,-,1.55.E-02,kgSO2e/m2,1.33.E-02,2.20.E-03,-,-,9.54.E-03,kgPO43-e/m2,3.17.E-03,6.37.E-03,-,-,4.99.E-03,kgC2H4e/m2,4.90.E-03,8.25.E-05,-,-,2.32.E-01,m3H2Oe/m2,2.19.E-01,1.32.E-02,-,-,2021-03-26,2024-03-25,,,,
926,한국타올기산업(주),207-81-29548,환경성적,2017-149,에너지사용,손건조기(HTM-310),4.54.E+00,kgSbe/대,1.61.E-01,5.70.E-03,4.31.E+00,6.74.E-02,7.20.E+02,kgCO2e/대,2.34.E+01,8.74.E-01,6.81.E+02,1.43.E+01,2.17.E-06,kgCFC-11e/대,1.74.E-06,1.36.E-07,1.88.E-08,2.76.E-07,1.47.E+00,kgSO2e/대,2.79.E-01,2.65.E-03,1.15.E+00,3.98.E-02,2.49.E-01,kgPO43-e/대,1.30.E-02,4.73.E-04,2.14.E-01,2.16.E-02,4.71.E-02,kgC2H4e/대,3.28.E-02,8.71.E-04,4.85.E-03,8.65.E-03,1.01.E+01,m3H2Oe/대,1.40.E+00,1.18.E-02,8.49.E+00,1.52.E-01,2020-12-26,2023-12-25,,,,
927,한국타올기산업(주),207-81-29548,환경성적,2017-150,에너지사용,손건조기(HTM-350),4.31.E+00,kgSbe/대,1.52.E-01,5.43.E-03,4.15.E+00,1.61.E-03,6.82.E+02,kgCO2e/대,1.92.E+01,8.35.E-01,6.57.E+02,4.98.E+00,2.00.E-06,kgCFC-11e/대,1.83.E-06,1.22.E-07,1.82.E-08,2.87.E-08,1.43.E+00,kgSO2e/대,3.16.E-01,2.47.E-03,1.11.E+00,2.41.E-03,2.25.E-01,kgPO43-e/대,1.16.E-02,4.39.E-04,2.07.E-01,6.59.E-03,3.88.E-02,kgC2H4e/대,3.28.E-02,7.79.E-04,4.68.E-03,5.33.E-04,9.65.E+00,m3H2Oe/대,1.45.E+00,1.12.E-02,8.19.E+00,2.41.E-03,2020-12-26,2023-12-25,,,,
928,한국타올기산업(주),207-81-29548,환경성적,2017-151,에너지사용,손건조기(HTM-352),3.33.E+00,kgSbe/대,1.49.E-01,5.47.E-03,3.18.E+00,1.18.E-03,5.26.E+02,kgCO2e/대,1.87.E+01,8.92.E-01,5.02.E+02,3.93.E+00,1.98.E-06,kgCFC-11e/대,1.82.E-06,1.23.E-07,1.39.E-08,2.01.E-08,1.12.E+00,kgSO2e/대,2.63.E-01,2.49.E-03,8.49.E-01,1.99.E-03,1.74.E-01,kgPO43-e/대,1.10.E-02,4.35.E-04,1.58.E-01,4.32.E-03,3.48.E-02,kgC2H4e/대,3.00.E-02,7.84.E-04,3.58.E-03,4.18.E-04,7.36.E+00,m3H2Oe/대,1.09.E+00,1.13.E-02,6.26.E+00,2.14.E-03,2020-12-26,2023-12-25,,,,
929,한국타올기산업(주),207-81-29548,환경성적,2017-152,에너지사용,손건조기(HTM-351),3.12.E+00,kgSbe/대,1.50.E-01,5.42.E-03,2.93.E+00,3.37.E-02,5.30.E+02,kgCO2e/대,1.90.E+01,8.40.E-01,4.64.E+02,4.69.E+01,2.22.E-06,kgCFC-11e/대,1.83.E-06,1.17.E-07,1.28.E-08,2.59.E-07,1.10.E+00,kgSO2e/대,2.63.E-01,2.45.E-03,7.84.E-01,4.96.E-02,2.07.E-01,kgPO43-e/대,1.13.E-02,4.26.E-04,1.46.E-01,4.94.E-02,3.94.E-02,kgC2H4e/대,3.01.E-02,7.49.E-04,3.30.E-03,5.30.E-03,7.34.E+00,m3H2Oe/대,1.45.E+00,1.12.E-02,5.78.E+00,1.02.E-01,2020-12-26,2023-12-25,,,,
930,한국서부발전(주),120-86-19205,환경성적,2021-071,생산재,태안발전본부 정제회,7.52.E-05,kgSbe/kg,1.83.E-05,5.69.E-05,-,-,1.84.E-02,kgCO2e/kg,4.93.E-03,1.35.E-02,-,-,8.07.E-10,kgCFC-11e/kg,8.00.E-14,8.06.E-10,-,-,2.90.E-05,kgSO2e/kg,4.89.E-06,2.41.E-05,-,-,4.76.E-06,kgPO43-e/kg,9.12.E-07,3.85.E-06,-,-,5.21.E-06,kgC2H4e/kg,2.06.E-08,5.19.E-06,-,-,1.51.E-04,m3H2Oe/kg,3.61.E-05,1.15.E-04,-,-,2021-03-26,2024-03-25,,,,
931,한국서부발전(주),120-86-19205,환경성적,2021-072,생산재,서인천발전본부 생산전력[LNG],2.43.E-03,kgSbe/kWh,2.38.E-03,4.68.E-05,-,-,4.52.E-01,kgCO2e/kWh,8.03.E-02,3.71.E-01,-,-,5.64.E-10,kgCFC-11e/kWh,5.63.E-10,3.82.E-13,-,-,1.07.E-03,kgSO2e/kWh,3.74.E-04,6.97.E-04,-,-,1.45.E-04,kgPO43-e/kWh,1.53.E-05,1.29.E-04,-,-,2.56.E-03,kgC2H4e/kWh,2.52.E-03,3.62.E-05,-,-,2.73.E-04,m3H2Oe/kWh,9.23.E-06,2.64.E-04,-,-,2021-03-26,2024-03-25,,,,
932,한국서부발전(주),120-86-19205,환경성적,2021-073,생산재,군산발전본부 생산전력[LNG],2.64.E-03,kgSbe/kWh,2.63.E-03,1.58.E-05,-,-,4.92.E-01,kgCO2e/kWh,8.86.E-02,4.04.E-01,-,-,6.21.E-10,kgCFC-11e/kWh,6.21.E-10,4.54.E-13,-,-,1.17.E-03,kgSO2e/kWh,4.12.E-04,7.59.E-04,-,-,1.58.E-04,kgPO43-e/kWh,1.68.E-05,1.41.E-04,-,-,2.82.E-03,kgC2H4e/kWh,2.78.E-03,3.99.E-05,-,-,1.61.E-04,m3H2Oe/kWh,1.02.E-05,1.51.E-04,-,-,2021-03-26,2024-03-25,,,,
933,(주)강원,131-85-04457,환경성적,2021-074,생산재,레디믹스트 콘크리트[25-24-150],4.19.E-01,kgSbe/m3,4.13.E-01,5.99.E-03,-,-,1.25.E+02,kgCO2e/m3,1.24.E+02,8.82.E-01,-,-,6.97.E-06,kgCFC-11e/m3,6.92.E-06,4.84.E-08,-,-,2.78.E-01,kgSO2e/m3,2.70.E-01,8.42.E-03,-,-,3.62.E-02,kgPO43-e/m3,3.56.E-02,5.97.E-04,-,-,1.81.E-01,kgC2H4e/m3,1.80.E-01,4.96.E-04,-,-,5.39.E-01,m3H2Oe/m3,4.78.E-01,6.10.E-02,-,-,2021-03-26,2024-03-25,,,,
934,(주)강원,131-85-04457,환경성적,2021-075,생산재,레디믹스트 콘크리트[25-27-150],5.50.E-01,kgSbe/m3,5.43.E-01,6.28.E-03,-,-,1.59.E+02,kgCO2e/m3,1.58.E+02,9.27.E-01,-,-,6.78.E-06,kgCFC-11e/m3,6.73.E-06,4.84.E-08,-,-,3.04.E-01,kgSO2e/m3,2.95.E-01,8.50.E-03,-,-,3.85.E-02,kgPO43-e/m3,3.79.E-02,6.12.E-04,-,-,1.97.E-01,kgC2H4e/m3,1.96.E-01,4.96.E-04,-,-,5.70.E-01,m3H2Oe/m3,5.09.E-01,6.16.E-02,-,-,2021-03-26,2024-03-25,,,,
935,(주)강원,131-85-04457,환경성적,2021-076,생산재,레디믹스트 콘크리트[25-30-150],5.80.E-01,kgSbe/m3,5.74.E-01,5.60.E-03,-,-,1.68.E+02,kgCO2e/m3,1.67.E+02,8.19.E-01,-,-,7.04.E-06,kgCFC-11e/m3,6.99.E-06,4.84.E-08,-,-,3.20.E-01,kgSO2e/m3,3.12.E-01,8.32.E-03,-,-,4.04.E-02,kgPO43-e/m3,3.98.E-02,5.78.E-04,-,-,2.09.E-01,kgC2H4e/m3,2.08.E-01,4.96.E-04,-,-,5.85.E-01,m3H2Oe/m3,5.25.E-01,6.02.E-02,-,-,2021-03-26,2024-03-25,,,,
936,(주)대왕레미콘,506-81-38513,환경성적,2021-077,생산재,레디믹스트 콘크리트[25-24-150],1.01.E+00,kgSbe/m3,9.93.E-01,1.70.E-02,-,-,2.58.E+02,kgCO2e/m3,2.56.E+02,2.49.E+00,-,-,4.57.E-06,kgCFC-11e/m3,4.42.E-06,1.43.E-07,-,-,3.49.E-01,kgSO2e/m3,3.25.E-01,2.46.E-02,-,-,3.68.E-02,kgPO43-e/m3,3.51.E-02,1.71.E-03,-,-,1.92.E-01,kgC2H4e/m3,1.91.E-01,1.45.E-03,-,-,7.27.E-01,m3H2Oe/m3,6.17.E-01,1.10.E-01,-,-,2021-03-26,2024-03-25,,,,
937,(주)대왕레미콘,506-81-38513,환경성적,2021-078,생산재,레디믹스트 콘크리트[25-27-150],1.28.E+00,kgSbe/m3,1.26.E+00,1.55.E-02,-,-,3.27.E+02,kgCO2e/m3,3.25.E+02,2.25.E+00,-,-,5.74.E-06,kgCFC-11e/m3,5.60.E-06,1.43.E-07,-,-,4.31.E-01,kgSO2e/m3,4.07.E-01,2.41.E-02,-,-,4.58.E-02,kgPO43-e/m3,4.42.E-02,1.64.E-03,-,-,2.45.E-01,kgC2H4e/m3,2.43.E-01,1.44.E-03,-,-,8.43.E-01,m3H2Oe/m3,7.34.E-01,1.09.E-01,-,-,2021-03-26,2024-03-25,,,,
938,(주)대왕레미콘,506-81-38513,환경성적,2021-079,생산재,레디믹스트 콘크리트[25-30-150],1.40.E+00,kgSbe/m3,1.38.E+00,1.65.E-02,-,-,3.59.E+02,kgCO2e/m3,3.57.E+02,2.41.E+00,-,-,6.28.E-06,kgCFC-11e/m3,6.14.E-06,1.43.E-07,-,-,4.69.E-01,kgSO2e/m3,4.44.E-01,2.44.E-02,-,-,5.00.E-02,kgPO43-e/m3,4.84.E-02,1.69.E-03,-,-,2.69.E-01,kgC2H4e/m3,2.67.E-01,1.44.E-03,-,-,8.91.E-01,m3H2Oe/m3,7.82.E-01,1.08.E-01,-,-,2021-03-26,2024-03-25,,,,
939,(주)케이씨씨,214-81-70045,저탄소제품,2021-080,생산재,"KCC 마이톤[15T, T-bar용]",2.38.E-02,kgSbe/m2,9.21.E-03,1.46.E-02,-,-,5.04.E+00,kgCO2e/m2,2.45.E+00,2.58.E+00,-,-,1.51.E-07,kgCFC-11e/m2,1.49.E-07,2.29.E-09,-,-,1.44.E-02,kgSO2e/m2,8.79.E-03,5.60.E-03,-,-,5.91.E-03,kgPO43-e/m2,5.09.E-03,8.23.E-04,-,-,1.13.E-02,kgC2H4e/m2,9.88.E-04,1.03.E-02,-,-,5.79.E-02,m3H2Oe/m2,4.37.E-02,1.41.E-02,-,-,2021-03-26,2024-03-25,,,,
940,삼성디스플레이(주),142-81-45237,환경성적,2021-081,생산재,AMB667UM23(핸드폰 디스플레이),3.47.E-02,kgSbe/대,2.42.E-03,3.23.E-02,-,-,7.85.E+00,kgCO2e/대,2.95.E-01,7.55.E+00,-,-,5.65.E-08,kgCFC-11e/대,4.06.E-08,1.59.E-08,-,-,1.61.E-02,kgSO2e/대,1.64.E-03,1.44.E-02,-,-,3.41.E-03,kgPO43-e/대,3.75.E-04,3.03.E-03,-,-,1.94.E-03,kgC2H4e/대,3.02.E-04,1.64.E-03,-,-,1.59.E-01,m3H2Oe/대,1.10.E-01,4.88.E-02,-,-,2021-03-26,2024-03-25,,,,
941,한일시멘트(주),463-87-01012,저탄소제품,2021-082,생산재,레디믹스트 콘크리트[25-40-150],1.31.E+00,kgSbe/m3,1.30.E+00,1.35.E-02,-,-,3.27.E+02,kgCO2e/m3,3.25.E+02,2.12.E+00,-,-,1.36.E-05,kgCFC-11e/m3,1.36.E-05,8.92.E-09,-,-,4.94.E-01,kgSO2e/m3,4.89.E-01,4.87.E-03,-,-,6.23.E-02,kgPO43-e/m3,6.16.E-02,7.25.E-04,-,-,2.87.E-01,kgC2H4e/m3,2.87.E-01,3.41.E-04,-,-,1.16.E+00,m3H2Oe/m3,1.02.E+00,1.45.E-01,-,-,2021-03-26,2024-03-25,,,,
942,(주)현대정밀,133-81-22113,저탄소제품,2021-083,생산재,"MAX FLOOR 500[500x500x24T, SP형]",4.42.E-01,kgSbe/개,4.38.E-01,4.19.E-03,-,-,6.21.E+00,kgCO2e/개,5.54.E+00,6.63.E-01,-,-,1.55.E-07,kgCFC-11e/개,1.55.E-07,2.53.E-11,-,-,1.07.E-01,kgSO2e/개,1.06.E-01,1.12.E-03,-,-,7.69.E-03,kgPO43-e/개,7.49.E-03,2.09.E-04,-,-,3.05.E-02,kgC2H4e/개,3.05.E-02,4.79.E-06,-,-,4.00.E-02,m3H2Oe/개,3.17.E-02,8.34.E-03,-,-,2021-03-26,2024-03-25,,,,
943,(주)경동원,220-81-13641,저탄소제품,2021-084,생산재,파라소 육성용 인공토양,2.91.E-04,kgSbe/L,1.84.E-04,1.06.E-04,-,-,4.64.E-02,kgCO2e/L,2.72.E-02,1.92.E-02,-,-,9.17.E-09,kgCFC-11e/L,9.15.E-09,1.98.E-11,-,-,2.70.E-04,kgSO2e/L,2.27.E-04,4.32.E-05,-,-,4.63.E-05,kgPO43-e/L,4.01.E-05,6.13.E-06,-,-,1.62.E-04,kgC2H4e/L,7.29.E-05,8.94.E-05,-,-,2.87.E-04,m3H2Oe/L,2.41.E-04,4.63.E-05,-,-,2021-03-26,2024-03-25,,,,
944,(주)경동원,220-81-13641,저탄소제품,2021-085,생산재,파라소 배수용 인공토양,4.73.E-04,kgSbe/L,2.92.E-04,1.81.E-04,-,-,7.40.E-02,kgCO2e/L,4.13.E-02,3.26.E-02,-,-,1.42.E-08,kgCFC-11e/L,1.42.E-08,3.36.E-11,-,-,3.61.E-04,kgSO2e/L,2.88.E-04,7.33.E-05,-,-,6.04.E-05,kgPO43-e/L,5.00.E-05,1.04.E-05,-,-,2.63.E-04,kgC2H4e/L,1.11.E-04,1.52.E-04,-,-,5.38.E-04,m3H2Oe/L,4.59.E-04,7.82.E-05,-,-,2021-03-26,2024-03-25,,,,
945,롯데케미칼(주),118-81-15012,환경성적,2021-086,생산재,LOTTE CHEMICAL PET BIO,4.27.E-03,kgSbe/kg,3.10.E-03,1.17.E-03,-,-,1.70.E+00,kgCO2e/kg,1.31.E+00,3.85.E-01,-,-,1.04.E-07,kgCFC-11e/kg,9.98.E-08,4.06.E-09,-,-,8.26.E-03,kgSO2e/kg,7.51.E-03,7.52.E-04,-,-,1.03.E-03,kgPO43-e/kg,8.85.E-04,1.46.E-04,-,-,9.37.E-04,kgC2H4e/kg,9.06.E-04,3.12.E-05,-,-,1.78.E-02,m3H2Oe/kg,1.65.E-02,1.35.E-03,-,-,2021-03-26,2024-03-25,,,,
946,쌍용레미콘(주),104-86-20001,저탄소제품,2021-087,생산재,레디믹스트콘크리트[25-27-150],8.34.E-01,kgSbe/m3,8.21.E-01,1.29.E-02,-,-,2.22.E+02,kgCO2e/m3,2.20.E+02,2.01.E+00,-,-,7.60.E-06,kgCFC-11e/m3,7.58.E-06,2.47.E-08,-,-,3.51.E-01,kgSO2e/m3,3.44.E-01,7.13.E-03,-,-,4.31.E-02,kgPO43-e/m3,4.23.E-02,8.10.E-04,-,-,2.09.E-01,kgC2H4e/m3,2.09.E-01,2.95.E-04,-,-,7.41.E-01,m3H2Oe/m3,6.58.E-01,8.34.E-02,-,-,2021-03-26,2024-03-25,,,,
