환경성적표지 인증제품 유효현황(2021.12.22. 기준),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"○ 환경성적표지 유효현황 : 323개 기업, 1455개 제품(저탄소제품 95개 기업, 294개 제품 포함)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,자원발자국,,,,,,탄소발자국,,,,,,오존층영향,,,,,,산성비,,,,,,부영양화,,,,,,광화학 스모그,,,,,,물발자국,,,,,,,,,,,
연번,기업명,사업자등록번호,영향범주,인증번호,제품군,인증제품명,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,시작,종료,,,,
23,(주)엘엑스하우시스,107-87-18122,저탄소제품,2019-030,생산재,인테리어필름 SOLID[0.4mm*1.220mm*50m],8.54.E-03,kgSbe/m2,7.56.E-03,9.82.E-04,-,-,1.33.E+00,kgCO2e/m2,1.17.E+00,1.63.E-01,-,-,4.82.E-06,kgCFC-11e/m2,4.81.E-06,5.68.E-09,-,-,5.66.E-03,kgSO2e/m2,5.05.E-03,6.13.E-04,-,-,3.77.E-03,kgPO43-e/m2,3.68.E-03,8.76.E-05,-,-,1.57.E-03,kgC2H4e/m2,1.48.E-03,9.50.E-05,-,-,6.47.E-02,m3H2Oe/m2,6.39.E-02,8.21.E-04,-,-,2019-02-22,2022-02-21,,,,
24,(주)삼양사,101-86-66838,저탄소제품,C-2013-Ⅱ-006,비내구재,큐원 하얀설탕[1ton],7.68.E-01,kgSbe/ton,3.65.E-01,4.03.E-01,-,-,2.79.E+02,kgCO2e/ton,2.16.E+02,6.29.E+01,-,-,1.46.E-05,kgCFC-11e/ton,1.46.E-05,4.05.E-08,-,-,1.19.E+00,kgSO2e/ton,1.06.E+00,1.33.E-01,-,-,4.40.E-01,kgPO43-e/ton,4.17.E-01,2.22.E-02,-,-,2.71.E-01,kgC2H4e/ton,1.20.E-01,1.51.E-01,-,-,1.55.E+01,m3H2Oe/ton,1.37.E+01,1.74.E+00,-,-,2019-04-29,2022-04-28,,,,
25,(주)삼양사,101-86-66838,저탄소제품,A-2013-Ⅱ-008,비내구재,큐원 하얀설탕[1kg],1.60.E-03,kgSbe/개,7.35.E-04,8.58.E-04,-,3.03.E-06,3.79.E-01,kgCO2e/개,2.44.E-01,1.30.E-01,-,5.28.E-03,4.90.E-08,kgCFC-11e/개,2.38.E-08,2.51.E-08,-,6.64.E-11,1.58.E-03,kgSO2e/개,1.12.E-03,4.59.E-04,-,4.46.E-06,7.11.E-04,kgPO43-e/개,6.23.E-04,7.53.E-05,-,1.25.E-05,4.90.E-04,kgC2H4e/개,1.79.E-04,3.10.E-04,-,1.26.E-06,1.66.E-02,m3H2Oe/개,1.39.E-02,2.75.E-03,-,2.87.E-06,2019-04-29,2022-04-28,,,,
26,(주)삼양사,101-86-66838,저탄소제품,A-2013-Ⅱ-007,비내구재,큐원 하얀설탕[3kg],3.78.E-03,kgSbe/개,1.42.E-03,2.36.E-03,-,7.11.E-06,1.05.E+00,kgCO2e/개,6.82.E-01,3.57.E-01,-,1.05.E-02,1.08.E-07,kgCFC-11e/개,4.47.E-08,6.32.E-08,-,1.55.E-10,4.45.E-03,kgSO2e/개,3.22.E-03,1.22.E-03,-,1.06.E-05,1.82.E-03,kgPO43-e/개,1.59.E-03,2.00.E-04,-,2.60.E-05,1.24.E-03,kgC2H4e/개,3.81.E-04,8.53.E-04,-,3.17.E-06,4.91.E-02,m3H2Oe/개,4.13.E-02,7.78.E-03,-,6.77.E-06,2019-04-29,2022-04-28,,,,
27,(주)삼양사,101-86-66838,저탄소제품,A-2016-Ⅱ-001,비내구재,큐원 하얀설탕[15kg],1.77.E-02,kgSbe/개,5.19.E-03,1.25.E-02,-,2.60.E-05,5.13.E+00,kgCO2e/개,3.23.E+00,1.88.E+00,-,1.89.E-02,5.75.E-07,kgCFC-11e/개,2.21.E-07,3.53.E-07,-,5.57.E-10,2.25.E-02,kgSO2e/개,1.59.E-02,6.60.E-03,-,4.07.E-05,7.26.E-03,kgPO43-e/개,6.12.E-03,1.08.E-03,-,6.18.E-05,6.23.E-03,kgC2H4e/개,1.71.E-03,4.50.E-03,-,1.37.E-05,2.46.E-01,m3H2Oe/개,2.06.E-01,4.04.E-02,-,2.53.E-05,2019-04-22,2022-04-21,,,,
28,(주)삼양사,101-86-66838,환경성적,2019-031,비내구재,큐원 갈색설탕[1kg],,,,,,,5.26.E+02,gCO2e/개,2.40.E+02,2.81.E+02,-,5.41.E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-22,2022-03-21,,,,
29,(주)삼양사,101-86-66838,환경성적,2019-032,비내구재,큐원 갈색설탕[3kg],,,,,,,1.52.E+03,gCO2e/개,6.82.E+02,8.23.E+02,-,1.05.E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-22,2022-03-21,,,,
30,(주)삼양사,101-86-66838,환경성적,2019-033,비내구재,큐원 갈색설탕[15kg],,,,,,,7.33.E+03,gCO2e/개,3.24.E+03,4.07.E+03,-,2.06.E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-22,2022-03-21,,,,
31,(주)삼양사,101-86-66838,환경성적,2019-034,비내구재,큐원 흑설탕[1kg],,,,,,,5.69.E+02,gCO2e/개,2.39.E+02,3.25.E+02,-,5.53.E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-22,2022-03-21,,,,
32,(주)삼양사,101-86-66838,환경성적, 2019-035 ,비내구재,큐원 흑설탕[15kg],,,,,,,8.19.E+03,gCO2e/개,3.24.E+03,4.93.E+03,-,2.06.E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-22,2022-03-21,,,,
33,스파클(주),117-81-31135,저탄소제품, 2019-036 ,비내구재,스파클 먹는샘물[2.0L],1.94.E-03,kgSbe/개,1.19.E-03,7.45.E-04,-,7.98.E-06,2.70.E-01,kgCO2e/개,1.43.E-01,1.12.E-01,-,1.52.E-02,4.45.E-07,kgCFC-11e/개,4.13.E-07,3.15.E-08,-,1.73.E-10,9.14.E-04,kgSO2e/개,4.49.E-04,4.56.E-04,-,8.94.E-06,2.12.E-04,kgPO43-e/개,9.28.E-05,7.58.E-05,-,4.34.E-05,3.36.E-04,kgC2H4e/개,1.35.E-04,2.00.E-04,-,2.00.E-06,4.47.E-03,m3H2Oe/개,5.24.E-04,3.94.E-03,-,5.93.E-06,2019-03-22,2022-03-21,,,,
34,(주)케이씨씨,214-81-70045,저탄소제품,C-2013-Ⅱ-001,생산재,일반석고보드[9.5T],6.51.E-03,kgSbe/m2,1.18.E-03,5.33.E-03,-,-,1.12.E+00,kgCO2e/m2,2.56.E-01,8.62.E-01,-,-,3.98.E-08,kgCFC-11e/m2,3.83.E-08,1.53.E-09,-,-,2.46.E-03,kgSO2e/m2,6.76.E-04,1.79.E-03,-,-,5.81.E-04,kgPO43-e/m2,3.44.E-04,2.37.E-04,-,-,2.54.E-03,kgC2H4e/m2,2.49.E-04,2.29.E-03,-,-,9.34.E-03,m3H2Oe/m2,3.81.E-03,5.54.E-03,-,-,2019-03-27,2022-03-26,,,,
35,씨제이제일제당(주),104-86-09535,환경성적,2019-039,비내구재,백설 하얀설탕[1kg],,,,,,,3.97.E+02,gCO2e/개,2.54.E+02,1.39.E+02,-,4.04.E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-22,2022-03-21,,,,
36,씨제이제일제당(주),104-86-09535,환경성적,2019-040,비내구재,백설 하얀설탕[3kg],,,,,,,1.20.E+03,gCO2e/개,7.52.E+02,4.39.E+02,-,9.40.E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-22,2022-03-21,,,,
37,씨제이제일제당(주),121-85-28165,환경성적,C-2013-Ⅰ-004,비내구재,백설 하얀설탕[1ton],,,,,,,3.30.E+02,kgCO2e/ton,2.35.E+02,9.59.E+01,-,9.40.E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-27,2022-03-26,,,,
